Feature ,MCC for guess vs. actual,"Phase 1 & 2 Confusion Matrix  [[TP  FN ]
 [FP  TN ]] numbers",N (3820 videos),Bias Type,spearman for guess vs. actual and Pvalue
Female_baseline,-0.0036,"[[672 257]
  [659 248]]",1836,Baseline,"SpearmanrResult(correlation=-0.003597013257067301, pvalue=0.8775920674832047)"
Female_Heterophily,-0.0306,"[[259 120]
  [259 105]]",743,Heterophily,"SpearmanrResult(correlation=-0.03063829457358744, pvalue=0.4043209276725396)"
Female_Homophily,0.0163,"[[413 137]
  [400 143]]",1093,Homophily,"SpearmanrResult(correlation=0.01633435883791891, pvalue=0.5895826209512303)"
Male_baseline,0.0649,"[[862 256]
  [770 308]]",2196,Homophily,"SpearmanrResult(correlation=0.06491929270555252, pvalue=0.0023369257699704243)"
Male_Heterophily,0.0515,"[[507 151]
  [450 170]]",1278,Baseline,"SpearmanrResult(correlation=0.05152376103754425, pvalue=0.06557026773967847)"
Male_Homophily,0.0828,"[[355 105]
  [320 138]]",918,Heterophily,"SpearmanrResult(correlation=0.08278886750339552, pvalue=0.012098073646676574)"
White_baseline,0.0063,"[[984 343]
  [934 335]]",2596,Baseline,"SpearmanrResult(correlation=0.006269731567821229, pvalue=0.7495004669205674)"
White_Heterophily,-0.0498,"[[495 184]
  [421 124]]",1224,Heterophily,"SpearmanrResult(correlation=-0.04977804443733644, pvalue=0.08171510456860681)"
White_Homophily,0.0518,"[[489 159]
  [513 211]]",1372,Homophily,"SpearmanrResult(correlation=0.05182072086275247, pvalue=0.05498354268972214)"
PersonofColor_baseline,0.0815,"[[550 170]
  [495 221]]",1436,Baseline,"SpearmanrResult(correlation=0.08148962493296169, pvalue=0.0019984150899330093)"
PersonofColor_Heterophily,0.0668,"[[244 91]
  [262 131]]",728,Heterophily,"SpearmanrResult(correlation=0.06678709610498074, pvalue=0.07171408325264347)"
PersonofColor_Homophily,0.0858,"[[306 79]
  [233 90]]",708,Homophily,"SpearmanrResult(correlation=0.08581122401831855, pvalue=0.02240288434630872)"
Age1829_Baseline,0.1319,"[[269 77]
  [224 116]]",686,Baseline,"SpearmanrResult(correlation=0.13191109902860154, pvalue=0.0005325839850251848)"
Age1829_Heterophily,0.1476,"[[152 49]
  [117 65]]",383,Heterophily,"SpearmanrResult(correlation=0.12381456808267315, pvalue=0.015328867441669263)"
Age1829_Homophily,0.1476,"[[117 28]
  [107 51]]",303,Homophily,"SpearmanrResult(correlation=0.14755453179797293, pvalue=0.010112946146219761)"
Age3049_Baseline,0.0139,"[[413 118]
  [416 127]]",1074,Baseline,"SpearmanrResult(correlation=0.013896946465940932, pvalue=0.6491657108895665)"
Age3049_Heterophily,0.0360,"[[178 54]
  [173 62]]",467,Heterophily,"SpearmanrResult(correlation=0.035954473171364396, pvalue=0.4382503757589281)"
Age304_Homophily,-0.0037,"[[235 64]
  [243 65]]",607,Homophily,"SpearmanrResult(correlation=-0.0036758688943695603, pvalue=0.9279873378540351)"
Age50Plus_baseline,0.0137,"[[852 318]
  [789 313]]",2272,Baseline,"SpearmanrResult(correlation=0.013651775512830505, pvalue=0.515439736353934)"
Age50Plus_Heterophily,0.0105,"[[677 255]
  [636 251]]",1819,Heterophily,"SpearmanrResult(correlation=0.010453366287594147, pvalue=0.655930269454908)"
Age50Plus_Homophily,0.0264,"[[175 63]
  [153 62]]",453,Homophily,"SpearmanrResult(correlation=0.026438968432032767, pvalue=0.5746168905394876)"
Age5064_Baseline,0.0247,"[[460 145]
  [416 147]]",1168,Knowledge,"SpearmanrResult(correlation=0.024731331372856765, pvalue=0.3984221793670949)"
