,Feature,MCC,Confusion Matrix,spearman_Pvalue
0,Female_baseline,-0.00040049000451372800,"[[628 243]
 [611 236]]","SpearmanrResult(correlation=-0.0004004900045137282, pvalue=0.9867655098569247)"
1,Female_Heterophily,0.016826225764080900,"[[241  97]
 [240 104]]","SpearmanrResult(correlation=0.016826225764080906, pvalue=0.6609194697700856)"
2,Female_Homophily,-0.01296665740985240,"[[387 146]
 [371 132]]","SpearmanrResult(correlation=-0.012966657409852358, pvalue=0.6767728534392692)"
3,Male_baseline,0.06460676550996690,"[[825 247]
 [733 295]]","SpearmanrResult(correlation=0.06460676550996687, pvalue=0.003056617725085525)"
4,Male_Heterophily,0.051098397908474400,"[[483 142]
 [451 168]]","SpearmanrResult(correlation=0.05109839790847437, pvalue=0.07160437133387824)"
5,Male_Homophily,0.08497320951894410,"[[342 105]
 [282 127]]","SpearmanrResult(correlation=0.08497320951894405, pvalue=0.012883694431985105)"
6,White_baseline,0.008532105486743090,"[[931 328]
 [882 323]]","SpearmanrResult(correlation=0.008532105486743095, pvalue=0.6720651763135137)"
7,White_Heterophily,-0.055274883718166800,"[[473 179]
 [397 116]]","SpearmanrResult(correlation=-0.055274883718166766, pvalue=0.05928628038462202)"
8,White_Homophily,0.06002676529970920,"[[458 149]
 [485 207]]","SpearmanrResult(correlation=0.06002676529970923, pvalue=0.030515703010279612)"
9,PersonofColor_baseline,0.0991854573922977,"[[326  98]
 [283 133]]","SpearmanrResult(correlation=0.0991854573922977, pvalue=0.0040085888016440545)"
10,PersonofColor_Heterophily,0.09006829457302350,"[[144  50]
 [149  77]]","SpearmanrResult(correlation=0.09006829457302351, pvalue=0.0651686810972543)"
11,PersonofColor_Homophily,0.09921718830252080,"[[182  48]
 [134  56]]","SpearmanrResult(correlation=0.09921718830252081, pvalue=0.042122857714992815)"
12,Age50Plus_baseline,0.01594644537763860,"[[812 307]
 [749 304]]","SpearmanrResult(correlation=0.01594644537763858, pvalue=0.4576033548310745)"
13,Age50Plus_Heterophily,0.011290915318521100,"[[646 248]
 [602 243]]","SpearmanrResult(correlation=0.01129091531852111, pvalue=0.6379817629011251)"
14,Age50Plus_Homophily,0.03465611658713440,"[[166  59]
 [147  61]]","SpearmanrResult(correlation=0.03465611658713436, pvalue=0.4719693057392442)"
15,Age1829_Baseline,0.1452430559841850,"[[249  67]
 [204 106]]","SpearmanrResult(correlation=0.1452430559841849, pvalue=0.0002662832537250158)"
16,Age1829_Heterophily,0.14351700068827100,"[[138  41]
 [106  61]]","SpearmanrResult(correlation=0.14928907227444047, pvalue=0.0053942267946760205)"
17,Age1829_Homophily,0.14351700068827100,"[[111  26]
 [ 98  45]]","SpearmanrResult(correlation=0.14351700068827136, pvalue=0.016251878714510955)"
18,Age3049_Baseline,0.009449426656506800,"[[392 116]
 [391 121]]","SpearmanrResult(correlation=0.009449426656506804, pvalue=0.763088781980167)"
19,Age3049_Heterophily,0.040380899796526000,"[[171  52]
 [161  59]]","SpearmanrResult(correlation=0.04038089979652604, pvalue=0.3965136192609652)"
20,Age304_Homophily,-0.014803362658190700,"[[221  64]
 [230  62]]","SpearmanrResult(correlation=-0.014803362658190745, pvalue=0.7227114768603643)"
21,Age5064_Baseline,0.023809839385301000,"[[439 140]
 [399 142]]","SpearmanrResult(correlation=0.023809839385301002, pvalue=0.4260014005079581)"
22,Age5064_Heterophily,0.008113484905183440,"[[359 117]
 [331 112]]","SpearmanrResult(correlation=0.008113484905183446, pvalue=0.8059689094118178)"
23,Age5064_Homophily,0.09395195785376430,"[[80 23]
 [68 30]]","SpearmanrResult(correlation=0.09395195785376427, pvalue=0.18463182579776516)"
24,Age65plus_Baseline,0.007705272143532820,"[[373 167]
 [350 162]]","SpearmanrResult(correlation=0.00770527214353282, pvalue=0.8028784314194024)"
25,Age65plus_Heterophily,0.0027561298067333600,"[[353 161]
 [338 156]]","SpearmanrResult(correlation=0.0027561298067333593, pvalue=0.9303567485887372)"
26,Age65plus_Homophily,0.11322770341446000,"[[20  6]
 [12  6]]","SpearmanrResult(correlation=0.11322770341445958, pvalue=0.46428820944508364)"
27,FemalePOC_Baseline,0.023291547239873200,"[[755 245]
 [720 260]]","SpearmanrResult(correlation=0.023291547239873197, pvalue=0.3002513841448471)"
28,FemalePOC_Heterophily,0.00940206500108925,"[[398 137]
 [398 143]]","SpearmanrResult(correlation=0.009402065001089248, pvalue=0.7580374410720405)"
29,FemalePOC_Homophily,0.03959849183154490,"[[357 108]
 [322 117]]","SpearmanrResult(correlation=0.03959849183154486, pvalue=0.2342780080719318)"
30,MalePOC_Baseline,0.04781183301609570,"[[698 245]
 [624 271]]","SpearmanrResult(correlation=0.04781183301609574, pvalue=0.04040720088949562)"
31,MalePOC_Heterophily,0.0642050144306614,"[[346 120]
 [295 136]]","SpearmanrResult(correlation=0.0642050144306614, pvalue=0.05457560602797332)"
32,MalePOC_Homophily,0.032304434210181700,"[[352 125]
 [329 135]]","SpearmanrResult(correlation=0.0323044342101817, pvalue=0.3222214971663463)"
33,WhiteFemale_Baseline,0.052592844385303800,"[[662 223]
 [605 258]]","SpearmanrResult(correlation=0.05259284438530375, pvalue=0.027891590748491343)"
34,WhiteFemale_Heterophily,0.09160951411455310,"[[318 102]
 [288 139]]","SpearmanrResult(correlation=0.09160951411455308, pvalue=0.007634738658739908)"
35,WhiteFemale_Homophily,0.014380542517383300,"[[344 121]
 [317 119]]","SpearmanrResult(correlation=0.014380542517383346, pvalue=0.66641097627299)"
36,WhiteMale_Baseline,0.019807842288744700,"[[791 267]
 [739 273]]","SpearmanrResult(correlation=0.01980784228874469, pvalue=0.3677231637968169)"
37,WhiteMale_Heterophily,0.01769645033453270,"[[406 151]
 [405 163]]","SpearmanrResult(correlation=0.01769645033453268, pvalue=0.553218915729345)"
38,WhiteMale_Homophily,0.018966915511459100,"[[385 116]
 [334 110]]","SpearmanrResult(correlation=0.018966915511459136, pvalue=0.5603378088945479)"
39,Knowledgeable_about_deepfakes,0.08660273816430330,"[[310  91]
 [271 118]]","SpearmanrResult(correlation=0.08660273816430332, pvalue=0.014897575033650797)"
40,Not_Knowledgeable_about_deepfakes,0.021635477803403400,"[[1143  399]
 [1073  413]]","SpearmanrResult(correlation=0.08660273816430332, pvalue=0.014897575033650797)"
41,social_media_frequently,0.04047552418798420,"[[1321 1227]
 [ 429  479]]","SpearmanrResult(correlation=0.04047552418798416, pvalue=0.017332405395290608)"
42,social_media_infrequently,-0.00901159665078309,"[[132 117]
 [ 61  52]]","SpearmanrResult(correlation=-0.009011596650783094, pvalue=0.8643277179852881)"
